163,94,68,38,6,224
164,92,70,40,19,272
165,94,72,40,35,154
166,96,72,42,46,98
167,98,74,42,41,-144
168,98,70,40,53,-214
169,102,76,40,18,-284
170,102,74,42,17,-46
171,104,78,40,6,-2
172,100,76,40,14,162
173,100,76,44,14,38
174,100,78,40,33,22
175,98,72,40,14,-70
176,100,72,42,24,12
177,96,76,40,18,-78
178,94,74,40,18,-86
179,96,70,40,11,-106
180,96,70,38,6,52
181,96,72,42,2,110
182,98,66,38,21,186
183,98,72,40,18,110
184,94,70,42,34,-96
185,96,74,40,34,-238
186,104,78,40,2,-120
187,98,76,38,5,58
188,98,74,42,13,-2
189,96,74,42,9,96
190,96,70,42,6,318
191,94,80,40,30,408
192,98,70,38,54,180
193,102,74,38,66,-50
194,100,72,40,56,-326
195,106,76,40,49,-352
196,104,80,40,14,-148
197,106,82,42,9,322
198,102,76,42,26,366
199,104,78,42,62,136
200,104,72,44,58,-322
201,102,74,40,50,-366
202,96,74,44,11,-200
203,96,74,42,10,62
204,94,74,42,17,28
205,100,76,42,19,92
206,102,78,40,14,250
207,100,76,42,34,208
208,98,74,38,54,-72
209,96,72,38,42,-176
210,96,72,36,26,-226
211,94,74,38,30,-180
212,94,68,40,3,-74
213,96,66,40,5,162
214,94,70,40,17,102
215,98,70,38,26,-80
216,96,74,38,19,-104
217,92,76,40,6,-16
218,96,72,40,13,92
219,92,72,40,14,-28
220,92,74,40,21,-114
221,94,68,42,6,-66
222,92,70,36,0,186
223,90,70,36,12,204
224,90,68,42,33,0
225,96,74,38,27,-212
226,92,74,40,14,-84
227,98,72,42,2,54
228,96,72,40,17,68
229,96,74,42,18,-82
230,92,72,42,13,-94
231,90,70,42,5,-60
232,92,70,42,5,44
233,94,70,38,3,146
234,92,72,44,13,356
235,92,70,40,26,430
236,92,68,40,58,146
237,90,66,44,74,-166
238,84,68,40,45,-406
239,86,68,36,40,-322
240,80,68,42,8,-234
241,84,68,40,2,56
242,84,68,36,3,148
243,82,66,36,17,208
244,82,66,40,22,82
245,86,68,40,36,-68
246,86,70,42,26,-228
247,82,72,44,14,-132
248,86,70,40,2,42
249,88,74,42,8,400
250,86,70,44,19,488
251,84,74,42,65,246
252,82,66,42,74,-58
253,82,68,42,57,-184
254,80,66,38,61,-62
255,76,68,38,42,76
256,76,66,38,53,106
257,80,62,38,70,184
258,72,62,40,54,550
259,74,62,42,89,1490
260,70,60,42,150,3144
261,72,56,40,282,3934
262,70,58,36,569,2748
263,58,58,38,710,-742
264,52,54,40,693,-3418
265,46,50,46,451,-3886
266,36,50,46,221,-2220
267,36,50,48,122,-886
268,40,52,50,114,-514
269,36,56,54,76,-672
270,36,56,56,49,-472
271,38,58,56,11,22
272,42,58,56,10,488
273,42,62,54,53,434
274,36,60,56,78,28
275,32,52,54,74,-60
276,32,54,52,59,322
277,34,52,54,73,1024
278,38,52,52,123,1806
279,32,48,52,213,1738
280,32,48,46,344,1346
281,28,44,44,369,12
282,26,42,42,429,-866
283,24,38,36,326,-1868
284,20,36,34,259,-2032
285,22,28,32,140,-1702
286,20,28,28,27,-784
287,22,28,30,13,-34
288,20,24,30,14,-40
289,22,26,32,21,-94
290,16,30,34,4,-72
291,18,28,28,4,232
292,18,30,34,9,616
293,18,26,30,41,1256
294,20,24,32,96,4246
295,20,28,38,200,14048
296,22,30,36,714,37340
297,22,32,38,2266,75986
298,26,34,46,5906,101138
299,32,46,54,12165,76096
300,52,62,68,17036,-11608
301,70,94,86,16965,-99408
302,98,132,106,10254,-116060
303,114,156,132,2705,-58054
304,114,166,128,138,4008
305,110,162,136,1434,20240
306,100,142,128,2941,8386
307,86,126,122,3009,-4768
308,84,122,112,2809,-7438
309,74,112,106,2213,-8044
310,72,106,100,1968,-8690
311,68,98,94,1550,-9038
312,60,92,84,904,-3148
313,52,84,78,677,3932
314,56,80,74,1101,4402
315,72,82,68,1418,-2548
316,86,90,68,1305,-8274
317,94,94,66,714,-8210
318,100,96,62,236,-4270
319,102,84,60,96,-1186
320,104,90,62,49,-314
321,102,96,60,54,-216
322,102,100,60,42,-326
323,104,94,60,17,-162
324,106,98,60,8,-10
325,106,100,60,18,-48
326,110,96,64,12,-122
327,102,96,64,2,-38
328,104,96,60,1,82
329,102,94,64,6,40
330,108,96,64,14,-30
331,106,98,60,5,46
332,104,98,60,4,324
333,104,98,64,22,218
334,108,98,62,53,-58
335,98,96,62,30,-320
336,102,92,60,20,-178
337,100,90,58,3,-54
338,106,92,62,6,146
339,102,94,62,10,392
340,106,94,60,26,584
341,100,94,62,66,494
342,104,90,52,94,58
343,102,92,56,99,-368
344,94,88,56,74,-582
345,94,86,60,41,-440
346,98,80,54,13,-192
347,98,86,56,10,24
348,100,82,50,10,32
349,94,84,56,17,10
350,96,86,52,13,-66
351,96,84,54,13,328
352,100,90,58,6,698
353,102,90,54,70,646
354,92,84,56,108,-80
355,92,84,52,101,-648
356,94,82,50,59,-648
357,90,80,48,14,-354
358,90,78,46,8,-18
359,94,80,52,2,172
360,96,84,48,13,322
361,92,76,50,33,230
362,90,78,48,49,-48
363,92,78,46,46,-280
364,86,78,48,26,-232
365,84,74,46,9,-118
366,88,78,46,13,-34
367,86,74,50,5,-4
368,88,70,46,6,84
369,90,76,48,12,136
