LoadDump: 320 x 240 : 3
LoadDump: 320 x 240 : 3
LoadDump: 320 x 240 : 3
LoadDump: 320 x 240 : 3
samples=288152 size=1 D=2 S=0
Background color: (1078947517,1193252365,1078573555)
527,195774,98370,16
528,195774,98370,16
529,196089,98055,16
530,196351,97793,16
531,196710,97434,16
532,197328,96816,16
533,197369,96774,17
534,197442,96701,17
535,197444,96699,17
536,197444,96699,17
537,197459,96684,17
538,197553,96590,17
539,197581,96562,17
540,197708,96435,17
541,197708,96435,17
542,197912,96231,17
543,197965,96178,17
544,197965,96178,17
545,197968,96175,17
546,198411,95732,17
547,198627,95516,17
548,198637,95506,17
549,198734,95409,17
550,199002,95141,17
551,199218,94925,17
552,199218,94925,17
553,199227,94914,19
554,199631,94510,19
555,199787,94353,20
556,199989,94150,21
557,200170,93969,21
558,200492,93647,21
559,200590,93549,21
560,200590,93549,21
561,200632,93507,21
562,200736,93403,21
563,200946,93192,22
564,201214,92924,22
565,201242,92896,22
566,201559,92579,22
567,201830,92308,22
568,201830,92308,22
569,201926,92212,22
570,202457,91681,22
571,202836,91302,22
572,202888,91250,22
573,202888,91250,22
574,203263,90875,22
575,203537,90601,22
576,203537,90601,22
577,203540,90598,22
578,203599,90539,22
579,203792,90345,23
580,203908,90228,24
581,204014,90122,24
582,204337,89799,24
583,204581,89555,24
584,204581,89555,24
585,204722,89414,24
586,205110,89026,24
587,205604,88532,24
588,205859,88277,24
589,205877,88259,24
590,206058,88077,25
591,206385,87750,25
592,206385,87750,25
593,206385,87750,25
594,206493,87642,25
595,206901,87234,25
596,206938,87197,25
597,207120,87015,25
598,207123,87012,25
599,207173,86962,25
600,207173,86962,25
601,207570,86565,25
602,207735,86400,25
603,207852,86282,26
604,208134,86000,26
605,208134,86000,26
606,208339,85795,26
607,208617,85517,26
608,208617,85517,26
609,208643,85491,26
610,208747,85387,26
611,208805,85328,27
612,208846,85287,27
613,209037,85096,27
614,209057,85076,27
615,209437,84696,27
616,209437,84696,27
617,209437,84696,27
618,209495,84638,27
619,209565,84568,27
620,209635,84498,27
621,209652,84481,27
622,209829,84304,27
623,210060,84073,27
624,210060,84073,27
625,210060,84073,27
626,210096,84037,27
627,210858,83275,27
628,210932,83201,27
629,211044,83089,27
630,211620,82513,27
631,211745,82385,30
632,211745,82385,30
633,211901,82228,31
634,212128,82001,31
635,212195,81934,31
636,212412,81717,31
637,212412,81717,31
638,212448,81681,31
639,212691,81438,31
640,212691,81438,31
641,212692,81437,31
642,212939,81189,32
643,213236,80892,32
644,213268,80860,32
645,213361,80767,32
646,213440,80688,32
647,213563,80565,32
648,213563,80565,32
649,213580,80548,32
650,213770,80358,32
651,214239,79889,32
652,214530,79598,32
653,214649,79479,32
654,215026,79102,32
655,215190,78938,32
656,215190,78938,32
657,215192,78936,32
658,215697,78431,32
659,215697,78431,32
660,215735,78393,32
661,215741,78387,32
662,215963,78165,32
663,216337,77791,32
664,216337,77791,32
665,216587,77541,32
666,216860,77267,33
667,217047,77079,34
668,217303,76823,34
669,217303,76823,34
670,217554,76572,34
671,217618,76508,34
672,217618,76508,34
673,217619,76507,34
674,217726,76400,34
675,217794,76332,34
676,218219,75907,34
677,218220,75906,34
678,218417,75708,35
679,218452,75673,35
680,218452,75673,35
681,218491,75634,35
682,218568,75557,35
683,218568,75557,35
684,218619,75504,37
685,218881,75242,37
686,218958,75165,37
687,219202,74921,37
688,219202,74921,37
689,219202,74921,37
690,219650,74473,37
691,219683,74440,37
692,219822,74300,38
693,219857,74265,38
694,219888,74234,38
695,220031,74091,38
696,220031,74091,38
697,220073,74049,38
698,220182,73940,38
699,220634,73488,38
700,220846,73276,38
701,220846,73276,38
702,221242,72879,39
703,221445,72676,39
704,221445,72676,39
705,221445,72676,39
706,221975,72145,40
707,222053,72067,40
708,222073,72047,40
709,222080,72040,40
710,222281,71839,40
711,222340,71779,41
712,222340,71779,41
713,222411,71708,41
714,222629,71490,41
715,222786,71333,41
716,222888,71231,41
717,222890,71229,41
718,222949,71170,41
719,223193,70926,41
720,223193,70926,41
721,223315,70804,41
722,223383,70736,41
723,223413,70706,41
724,223418,70701,41
725,223503,70616,41
726,223839,70280,41
727,224181,69938,41
728,224181,69938,41
729,224333,69786,41
730,224423,69696,41
731,224518,69601,41
732,224740,69378,42
733,224740,69378,42
734,224973,69145,42
735,225656,68462,42
736,225656,68462,42
737,225666,68452,42
738,225860,68258,42
739,226041,68077,42
740,226042,68076,42
741,226063,68055,42
742,226066,68052,42
743,226070,68048,42
744,226070,68048,42
745,226354,67764,42
746,226501,67617,42
747,226890,67228,42
748,227124,66994,42
749,227127,66991,42
750,227331,66785,44
751,227567,66548,45
752,227567,66548,45
753,227567,66548,45
754,227585,66530,45
755,227776,66339,45
756,227891,66224,45
757,228311,65803,46
758,228316,65798,46
759,228430,65683,47
760,228430,65683,47
761,228431,65682,47
762,228521,65589,50
763,228617,65493,50
764,228638,65472,50
765,228638,65472,50
766,228661,65449,50
767,228709,65401,50
768,228709,65401,50
769,228709,65401,50
770,228817,65293,50
771,229031,65079,50
772,229248,64857,55
773,229269,64836,55
774,229740,64365,55
775,229910,64193,57
